run_id,stage,vpn,client_type,host,repeat,mtu,delay_ms,loss_pct,cpu_stress,tcp_throughput_mbps,udp_throughput_mbps,udp_loss_pct_actual,udp_jitter_ms,rtt_avg_ms,rtt_mdev_ms,cpu_avg_percent,cpu_max_percent,throughput_per_cpu,reconnect_ms,handshake_ms,folder
baseline_ipsec_ubuntu_20260328T003815562652Z_r1_22a59c67,baseline,ipsec,VM,ubuntu,1,1500,,,False,49.12897733194186,34.041356631871174,0.7329938452127346,0.043813553560922425,14.609,0.907,0.21666666666666667,4.2,226.74912614742396,,2248.0,C:\vpn-thesis\results\baseline_ipsec_ubuntu_20260328T003815562652Z_r1_22a59c67
baseline_ipsec_ubuntu_20260328T005018562042Z_r2_c986a6cd,baseline,ipsec,VM,ubuntu,2,1500,,,False,41.420531773747065,25.20437726692382,0.0717490089215182,0.07453131885632824,14.638,0.869,0.20500000000000002,3.7,202.05137450608322,,2331.0,C:\vpn-thesis\results\baseline_ipsec_ubuntu_20260328T005018562042Z_r2_c986a6cd
baseline_ipsec_ubuntu_20260328T010223383317Z_r3_3b57e6ad,baseline,ipsec,VM,ubuntu,3,1500,,,False,29.366313404391025,26.91536918411182,0.13777002585733,0.2189056201344859,14.549,0.466,0.46499999999999997,8.5,63.1533621599807,,2270.0,C:\vpn-thesis\results\baseline_ipsec_ubuntu_20260328T010223383317Z_r3_3b57e6ad
baseline_openvpn_ubuntu_20260327T225250867617Z_r1_0dc36fea,baseline,openvpn,RaspberryPi,ubuntu,1,1500,,,False,70.64986658928525,49.9993190011577,0.007134485043061713,0.11579927181441556,12.951,0.179,0.02666666666666667,0.6,2649.369997098197,,5145.0,C:\vpn-thesis\results\baseline_openvpn_ubuntu_20260327T225250867617Z_r1_0dc36fea
baseline_openvpn_ubuntu_20260327T230139604029Z_r2_f047b475,baseline,openvpn,RaspberryPi,ubuntu,2,1500,,,False,67.536656781515,49.9993190011577,0.03533268783230563,0.1265158097993363,13.027,0.411,0.02333333333333333,0.6,2894.4281477792147,,5125.0,C:\vpn-thesis\results\baseline_openvpn_ubuntu_20260327T230139604029Z_r2_f047b475
baseline_openvpn_ubuntu_20260327T231031502444Z_r3_e427d797,baseline,openvpn,RaspberryPi,ubuntu,3,1500,,,False,65.74768478013966,49.9993190011577,0.004416585979038204,0.10157665990116715,13.469,2.39,0.030000000000000002,1.0,2191.5894926713218,,5121.0,C:\vpn-thesis\results\baseline_openvpn_ubuntu_20260327T231031502444Z_r3_e427d797
baseline_openvpn_ubuntu_20260328T003243388933Z_r1_23598ded,baseline,openvpn,VM,ubuntu,1,1500,,,False,52.90342781415784,49.9988149766011,56.31641888402685,0.552357547204489,15.424,2.178,0.24333333333333332,6.3,217.41134718147057,,5137.0,C:\vpn-thesis\results\baseline_openvpn_ubuntu_20260328T003243388933Z_r1_23598ded
baseline_openvpn_ubuntu_20260328T004444989931Z_r2_5fa91cf3,baseline,openvpn,VM,ubuntu,2,1500,,,False,39.270248454394604,49.998966249408156,56.08822240416923,0.5097883952913332,15.449,1.84,0.10166666666666666,2.1,386.2647388956847,,5109.0,C:\vpn-thesis\results\baseline_openvpn_ubuntu_20260328T004444989931Z_r2_5fa91cf3
baseline_openvpn_ubuntu_20260328T005649286832Z_r3_f2c06015,baseline,openvpn,VM,ubuntu,3,1500,,,False,33.25828405069309,49.998969712449295,53.0487929171791,0.8246994319088232,16.964,7.348,0.3283333333333333,10.8,101.29426614424293,,5080.0,C:\vpn-thesis\results\baseline_openvpn_ubuntu_20260328T005649286832Z_r3_f2c06015
baseline_wireguard_ubuntu_20260327T224927299481Z_r1_2a41989d,baseline,wireguard,RaspberryPi,ubuntu,1,1500,,,False,76.99142749527948,49.999403001014905,0.0,0.0946683602212348,12.857,0.161,0.04,1.3,1924.785687381987,,584.0,C:\vpn-thesis\results\baseline_wireguard_ubuntu_20260327T224927299481Z_r1_2a41989d
